Zeit,Geschwindigkeit,Fahrtrichtung,Lenkwinkel,Abstand_Hindernis
13:25:26.530,50,1,90,128
13:25:26.548,50,1,90,127
13:25:26.567,50,1,90,128
13:25:26.585,50,1,90,126
13:25:26.604,50,1,90,127
13:25:26.622,50,1,90,127
13:25:26.640,50,1,90,125
13:25:26.659,50,1,90,126
13:25:26.677,50,1,90,124
13:25:26.695,50,1,90,125
13:25:26.713,50,1,90,124
13:25:26.732,50,1,90,124
13:25:26.750,50,1,90,122
13:25:26.768,50,1,90,122
13:25:26.786,50,1,90,122
13:25:26.804,50,1,90,121
13:25:26.823,50,1,90,122
13:25:26.841,50,1,90,121
13:25:26.859,50,1,90,121
13:25:26.877,50,1,90,118
13:25:26.895,50,1,90,120
13:25:26.913,50,1,90,119
13:25:26.931,50,1,90,116
13:25:26.948,50,1,90,116
13:25:26.966,50,1,90,117
13:25:26.984,50,1,90,117
13:25:27.002,50,1,90,115
13:25:27.020,50,1,90,116
13:25:27.037,50,1,90,116
13:25:27.055,50,1,90,115
13:25:27.073,50,1,90,114
13:25:27.091,50,1,90,113
13:25:27.108,50,1,90,113
13:25:27.126,50,1,90,112
13:25:27.143,50,1,90,113
13:25:27.161,50,1,90,111
13:25:27.178,50,1,90,112
13:25:27.196,50,1,90,111
13:25:27.213,50,1,90,111
13:25:27.231,50,1,90,109
13:25:27.248,50,1,90,109
13:25:27.266,50,1,90,109
13:25:27.284,50,1,90,107
13:25:27.301,50,1,90,108
13:25:27.318,50,1,90,108
13:25:27.336,50,1,90,107
13:25:27.353,50,1,90,107
13:25:27.370,50,1,90,107
13:25:27.387,50,1,90,105
13:25:27.404,50,1,90,105
13:25:27.422,50,1,90,105
13:25:27.439,50,1,90,105
13:25:27.456,50,1,90,105
13:25:27.474,50,1,90,104
13:25:27.491,50,1,90,103
13:25:27.508,50,1,90,103
13:25:27.525,50,1,90,102
13:25:27.542,50,1,90,102
13:25:27.559,50,1,90,100
13:25:27.576,50,1,90,100
13:25:27.593,50,1,90,100
13:25:27.610,50,1,90,100
13:25:27.627,50,1,90,99
13:25:27.644,50,1,90,99
13:25:27.661,50,1,90,98
13:25:27.678,50,1,90,97
13:25:27.695,50,1,90,98
13:25:27.712,50,1,90,98
13:25:27.729,50,1,90,97
13:25:27.746,50,1,90,97
13:25:27.762,50,1,90,95
13:25:27.779,50,1,90,96
13:25:27.796,50,1,90,94
13:25:27.813,50,1,90,96
13:25:27.829,50,1,90,95
13:25:27.846,50,1,90,94
13:25:27.863,50,1,90,94
13:25:27.879,50,1,90,94
13:25:27.896,50,1,90,93
13:25:27.913,50,1,90,92
13:25:27.929,50,1,90,91
13:25:27.945,50,1,90,91
13:25:27.962,50,1,90,91
13:25:27.978,50,1,90,90
13:25:27.995,50,1,90,90
13:25:28.012,50,1,90,90
13:25:28.028,50,1,90,90
13:25:28.045,50,1,90,88
13:25:28.061,50,1,90,89
13:25:28.077,50,1,90,87
13:25:28.094,50,1,90,88
13:25:28.110,50,1,90,86
13:25:28.126,50,1,90,87
13:25:28.142,50,1,90,85
13:25:28.158,50,1,90,86
13:25:28.174,50,1,90,85
13:25:28.191,50,1,90,85
13:25:28.207,50,1,90,84
13:25:28.223,50,1,90,83
13:25:28.239,50,1,90,84
13:25:28.255,50,1,90,82
13:25:28.271,50,1,90,83
13:25:28.287,50,1,90,84
13:25:28.303,50,1,90,82
13:25:28.319,50,1,90,82
13:25:28.335,50,1,90,82
13:25:28.350,50,1,90,80
13:25:28.366,50,1,90,81
13:25:28.382,50,1,90,80
13:25:28.398,50,1,90,79
13:25:28.414,50,1,90,78
13:25:28.430,50,1,90,79
13:25:28.446,50,1,90,78
13:25:28.461,50,1,90,80
13:25:28.477,50,1,90,77
13:25:28.493,50,1,90,78
13:25:28.508,50,1,90,78
13:25:28.524,50,1,90,78
13:25:28.540,50,1,90,76
13:25:28.556,50,1,90,78
13:25:28.571,50,1,90,78
13:25:28.587,50,1,90,75
13:25:28.602,50,1,90,75
13:25:28.618,50,1,90,75
13:25:28.634,50,1,90,76
13:25:28.649,50,1,90,76
13:25:28.665,50,1,90,75
13:25:28.680,50,1,90,75
13:25:28.696,50,1,90,73
13:25:28.711,50,1,90,72
13:25:28.726,50,1,90,72
13:25:28.742,50,1,90,72
13:25:28.758,50,1,90,71
13:25:28.773,50,1,90,75
13:25:28.789,50,1,90,69
13:25:28.804,50,1,90,70
13:25:28.820,50,1,90,70
13:25:28.836,50,1,90,70
13:25:28.851,50,1,90,70
13:25:28.866,50,1,90,70
13:25:28.881,50,1,90,71
13:25:28.896,50,1,90,68
13:25:28.911,50,1,90,68
13:25:28.927,50,1,90,69
13:25:28.942,50,1,90,69
13:25:28.957,50,1,90,68
13:25:28.972,50,1,90,66
13:25:28.987,50,1,90,66
